Date,Description,Amount,Balance
2024-04-20,ACH - Home Warranty Co,43975.00,252226.00
2024-04-24,Transfer to Payroll Account x9917,-63400.00,188826.00
2024-04-28,Distribution to Member - J Bluebird,-4000.00,184826.00
2024-05-01,ACH - Maple Street Properties (Rent),-8500.00,176326.00
2024-05-03,ACH - Ferguson Supply,-43160.00,133166.00
2024-05-05,Deposit - ServiceTitan Payout,75720.00,208886.00
2024-05-05,ACH - Hartford Insurance,-2100.00,206786.00
2024-05-08,WEX Fleet Card Payment,-3200.00,203586.00
2024-05-10,ACH - BMW Financial Services Lease,-1200.00,202386.00
2024-05-11,ACH - Oakmont Country Club Dues,-850.00,201536.00
2024-05-12,Check Deposit - Commercial Clients,66255.00,267791.00
2024-05-13,Check 1044 - Reynolds LLP (Legal),-950.00,266841.00
2024-05-14,ACH - Google Ads,-1800.00,265041.00
2024-05-15,ACH - SaaS & Office Supplies,-1350.00,263691.00
2024-05-16,Loan Interest - First National Bank,-1150.00,262541.00
2024-05-17,Check 1064 - Johnstone Supply,-28774.00,233767.00
2024-05-20,ACH - Home Warranty Co,47325.00,281092.00
2024-05-24,Transfer to Payroll Account x9917,-64800.00,216292.00
2024-05-28,Distribution to Member - J Bluebird,-4000.00,212292.00
2024-06-01,ACH - Maple Street Properties (Rent),-8500.00,203792.00
2024-06-03,ACH - Ferguson Supply,-45988.00,157804.00
2024-06-05,Deposit - ServiceTitan Payout,80680.00,238484.00
2024-06-05,ACH - Hartford Insurance,-2100.00,236384.00
2024-06-08,WEX Fleet Card Payment,-3200.00,233184.00
2024-06-10,ACH - BMW Financial Services Lease,-1200.00,231984.00
2024-06-11,ACH - Oakmont Country Club Dues,-850.00,231134.00
2024-06-12,Check Deposit - Commercial Clients,70595.00,301729.00
2024-06-13,Check 1045 - Reynolds LLP (Legal),-950.00,300779.00
2024-06-14,ACH - Google Ads,-1800.00,298979.00
2024-06-15,ACH - SaaS & Office Supplies,-1350.00,297629.00
2024-06-16,Loan Interest - First National Bank,-1150.00,296479.00
2024-06-17,Check 1065 - Johnstone Supply,-30658.00,265821.00
2024-06-18,Wire - Litigation Settlement - Reynolds LLP,-25000.00,240821.00
2024-06-20,ACH - Home Warranty Co,50425.00,291246.00
2024-06-24,Transfer to Payroll Account x9917,-66200.00,225046.00
2024-06-28,Distribution to Member - J Bluebird,-4000.00,221046.00
2024-07-01,ACH - Maple Street Properties (Rent),-8500.00,212546.00
2024-07-03,ACH - Ferguson Supply,-48906.00,163640.00
2024-07-05,Deposit - ServiceTitan Payout,85800.00,249440.00
2024-07-05,ACH - Hartford Insurance,-2100.00,247340.00
2024-07-08,WEX Fleet Card Payment,-3200.00,244140.00
2024-07-10,ACH - BMW Financial Services Lease,-1200.00,242940.00
2024-07-11,ACH - Oakmont Country Club Dues,-850.00,242090.00
2024-07-12,Check Deposit - Commercial Clients,75075.00,317165.00
2024-07-13,Check 1046 - Reynolds LLP (Legal),-950.00,316215.00
2024-07-14,ACH - Google Ads,-1800.00,314415.00
2024-07-15,ACH - SaaS & Office Supplies,-1350.00,313065.00
2024-07-16,Loan Interest - First National Bank,-1150.00,311915.00
2024-07-17,Check 1066 - Johnstone Supply,-32604.00,279311.00
2024-07-20,ACH - Home Warranty Co,53625.00,332936.00
2024-07-24,Transfer to Payroll Account x9917,-67600.00,265336.00
2024-07-28,Distribution to Member - J Bluebird,-4000.00,261336.00
2024-08-01,ACH - Maple Street Properties (Rent),-8500.00,252836.00
2024-08-03,ACH - Ferguson Supply,-47629.00,205207.00
2024-08-05,Deposit - ServiceTitan Payout,83560.00,288767.00
2024-08-05,ACH - Hartford Insurance,-2100.00,286667.00
2024-08-08,WEX Fleet Card Payment,-3200.00,283467.00
2024-08-10,ACH - BMW Financial Services Lease,-1200.00,282267.00
2024-08-11,ACH - Oakmont Country Club Dues,-850.00,281417.00
2024-08-12,Check Deposit - Commercial Clients,73115.00,354532.00
2024-08-13,Check 1047 - Reynolds LLP (Legal),-950.00,353582.00
2024-08-14,ACH - Google Ads,-1800.00,351782.00
2024-08-15,ACH - SaaS & Office Supplies,-1350.00,350432.00
2024-08-16,Loan Interest - First National Bank,-1150.00,349282.00
2024-08-17,Check 1067 - Johnstone Supply,-31753.00,317529.00
2024-08-20,ACH - Home Warranty Co,52225.00,369754.00
2024-08-24,Transfer to Payroll Account x9917,-67000.00,302754.00
2024-08-28,Distribution to Member - J Bluebird,-4000.00,298754.00
2024-09-01,ACH - Maple Street Properties (Rent),-8500.00,290254.00
2024-09-03,ACH - Ferguson Supply,-42454.00,247800.00
2024-09-05,Deposit - ServiceTitan Payout,74480.00,322280.00
2024-09-05,ACH - Hartford Insurance,-2100.00,320180.00
2024-09-08,WEX Fleet Card Payment,-3200.00,316980.00
2024-09-10,ACH - BMW Financial Services Lease,-1200.00,315780.00
2024-09-11,ACH - Oakmont Country Club Dues,-850.00,314930.00
2024-09-12,Check Deposit - Commercial Clients,65170.00,380100.00
2024-09-12,Counter Deposit,18000.00,398100.00
2024-09-13,Check 1048 - Reynolds LLP (Legal),-950.00,397150.00
2024-09-14,ACH - Google Ads,-1800.00,395350.00
2024-09-15,ACH - SaaS & Office Supplies,-1350.00,394000.00
2024-09-16,Loan Interest - First National Bank,-1150.00,392850.00
2024-09-17,Check 1068 - Johnstone Supply,-28302.00,364548.00
2024-09-20,ACH - Home Warranty Co,46550.00,411098.00
2024-09-24,Transfer to Payroll Account x9917,-65400.00,345698.00
2024-09-28,Distribution to Member - J Bluebird,-4000.00,341698.00
2024-10-01,ACH - Maple Street Properties (Rent),-8500.00,333198.00
2024-10-03,ACH - Ferguson Supply,-39307.00,293891.00
2024-10-05,Deposit - ServiceTitan Payout,68960.00,362851.00
2024-10-05,ACH - Hartford Insurance,-2100.00,360751.00
2024-10-08,WEX Fleet Card Payment,-3200.00,357551.00
2024-10-10,ACH - BMW Financial Services Lease,-1200.00,356351.00
2024-10-11,ACH - Oakmont Country Club Dues,-850.00,355501.00
2024-10-12,Check Deposit - Commercial Clients,60340.00,415841.00
2024-10-13,Check 1049 - Reynolds LLP (Legal),-950.00,414891.00
2024-10-14,ACH - Google Ads,-1800.00,413091.00
2024-10-15,ACH - SaaS & Office Supplies,-1350.00,411741.00
2024-10-16,Loan Interest - First National Bank,-1150.00,410591.00
2024-10-17,Check 1069 - Johnstone Supply,-26205.00,384386.00
2024-10-20,ACH - Home Warranty Co,43100.00,427486.00
2024-10-24,Transfer to Payroll Account x9917,-63800.00,363686.00
2024-10-28,Distribution to Member - J Bluebird,-4000.00,359686.00
2024-11-01,ACH - Maple Street Properties (Rent),-8500.00,351186.00
2024-11-03,ACH - Ferguson Supply,-36161.00,315025.00
2024-11-05,Deposit - ServiceTitan Payout,63440.00,378465.00
2024-11-05,ACH - Hartford Insurance,-2100.00,376365.00
2024-11-08,WEX Fleet Card Payment,-3200.00,373165.00
2024-11-10,ACH - BMW Financial Services Lease,-1200.00,371965.00
2024-11-11,ACH - Oakmont Country Club Dues,-850.00,371115.00
2024-11-12,Check Deposit - Commercial Clients,55510.00,426625.00
2024-11-13,Check 1050 - Reynolds LLP (Legal),-950.00,425675.00
2024-11-14,ACH - Google Ads,-1800.00,423875.00
2024-11-15,ACH - SaaS & Office Supplies,-1350.00,422525.00
2024-11-16,Loan Interest - First National Bank,-1150.00,421375.00
2024-11-17,Check 1070 - Johnstone Supply,-24107.00,397268.00
2024-11-20,ACH - Home Warranty Co,39650.00,436918.00
2024-11-24,Transfer to Payroll Account x9917,-62200.00,374718.00
2024-11-28,Distribution to Member - J Bluebird,-4000.00,370718.00
2024-12-01,ACH - Maple Street Properties (Rent),-8500.00,362218.00
2024-12-03,ACH - Ferguson Supply,-33995.00,328223.00
2024-12-05,Deposit - ServiceTitan Payout,59640.00,387863.00
2024-12-05,ACH - Hartford Insurance,-2100.00,385763.00
2024-12-08,WEX Fleet Card Payment,-3200.00,382563.00
2024-12-10,ACH - BMW Financial Services Lease,-1200.00,381363.00
2024-12-11,ACH - Oakmont Country Club Dues,-850.00,380513.00
2024-12-12,Check Deposit - Commercial Clients,52185.00,432698.00
2024-12-13,Check 1051 - Reynolds LLP (Legal),-950.00,431748.00
2024-12-14,ACH - Google Ads,-1800.00,429948.00
2024-12-15,ACH - SaaS & Office Supplies,-1350.00,428598.00
2024-12-16,Loan Interest - First National Bank,-1150.00,427448.00
2024-12-17,Check 1071 - Johnstone Supply,-22663.00,404785.00
2024-12-20,ACH - Home Warranty Co,37275.00,442060.00
2024-12-24,Transfer to Payroll Account x9917,-61600.00,380460.00
2024-12-28,Distribution to Member - J Bluebird,-4000.00,376460.00
